ObjectId;Karton;Größe;Gewicht
1;1;L;66.89
2;1;L;65.50
3;1;L;63.97
4;1;L;68.26
5;1;L;64.81
6;1;L;65.17
7;1;L;67.47
8;1;L;63.81
9;1;L;63.68
10;1;L;63.51
11;2;L;62.90
12;2;L;64.81
13;3;L;66.46
14;3;L;67.48
15;3;L;65.63
16;3;L;67.54
17;3;L;65.53
18;3;L;67.18
19;4;L;64.84
20;4;L;65.67
21;4;L;68.46
22;4;L;64.32
23;4;L;65.90
24;4;L;65.29
25;5;XL;77.20
26;5;XL;76.69
27;5;XL;77.50
28;5;XL;73.64
29;5;XL;73.95
30;5;XL;73.06
31;6;L;68.49
32;6;L;67.27
33;6;L;67.53
34;6;L;66.61
35;6;L;64.10
36;6;L;67.15
37;7;L;67.21
38;7;L;65.00
39;7;L;67.12
40;7;L;68.21
41;7;L;64.80
42;7;L;67.79
