Nr,Box,Gewicht,Makel
1,1,2.13,0
2,1,2.45,0
3,1,1.63,0
4,1,1.94,0
5,1,2.24,0
6,1,2.70,0
7,1,2.42,0
8,1,2.39,0
9,1,0.81,0
10,1,2.24,0
11,1,3.13,0
12,1,2.93,0
13,1,1.11,0
14,1,2.32,0
15,1,2.46,0
16,1,2.70,0
17,1,3.00,0
18,1,1.89,0
19,1,1.80,0
20,1,2.50,0
21,1,2.71,0
22,1,2.46,0
23,1,2.69,0
24,1,3.00,0
25,1,3.61,0
26,1,2.06,0
27,1,2.86,0
28,1,2.43,0
29,1,1.42,1
30,1,1.81,0
31,1,2.60,0
32,1,3.23,0
33,1,3.19,0
34,1,2.17,0
35,1,2.70,0
36,1,2.65,0
37,1,3.21,0
38,1,1.46,0
39,1,1.87,0
40,1,3.23,0
41,1,2.76,0
42,1,2.84,0
43,1,3.00,0
44,1,1.68,0
45,1,1.09,0
46,1,2.32,0
47,1,2.46,0
48,1,2.31,0
49,1,3.22,0
50,1,2.60,0
51,1,2.32,0
52,1,3.12,0
53,1,2.82,0
54,1,3.06,0
55,1,2.17,0
56,1,2.76,0
57,1,2.57,0
58,1,2.35,0
59,1,3.07,0
60,1,1.72,0
61,1,2.45,0
62,1,1.07,1
63,1,2.93,0
64,1,1.42,0
65,1,1.17,0
66,1,2.76,0
67,1,3.20,0
68,1,1.61,0
69,1,3.00,0
70,1,2.63,0
71,1,2.80,0
72,1,2.56,0
73,1,3.24,0
74,1,3.52,0
75,1,1.96,0
76,1,3.19,0
77,1,2.11,0
78,1,2.54,0
79,1,2.15,0
80,1,1.95,0
81,1,3.03,0
82,1,2.80,0
83,1,2.36,0
84,1,1.91,0
85,1,2.74,0
86,1,3.06,0
87,1,2.80,0
88,1,2.93,0
89,1,2.10,0
90,1,2.51,0
91,1,2.92,0
92,1,2.39,0
93,1,2.65,0
94,1,2.54,0
95,1,2.13,0
96,1,2.93,0
97,1,1.72,1
98,1,1.05,0
99,1,2.06,0
100,1,2.58,0
101,1,2.67,0
102,1,1.16,0
103,1,2.92,0
104,1,2.42,0
105,1,3.13,0
106,1,3.74,0
107,1,3.13,0
108,1,1.55,1
109,1,2.35,0
110,1,2.63,0
111,1,3.19,0
112,1,2.84,0
113,1,2.48,0
114,1,1.48,0
115,1,2.90,0
116,1,3.36,0
117,1,2.56,0
118,1,2.63,0
119,1,2.96,0
120,1,2.97,0
121,1,2.22,0
122,1,2.36,0
123,1,2.48,0
124,1,1.48,0
125,1,1.95,0
126,1,2.65,0
127,1,2.26,0
128,1,2.58,0
129,1,2.20,0
130,1,2.67,0
131,1,2.65,0
132,1,1.45,0
133,1,2.36,0
134,1,2.53,0
135,1,1.26,0
136,1,2.61,0
137,1,2.10,0
138,1,3.24,0
139,1,1.94,0
140,1,3.00,0
141,1,2.26,0
142,1,3.52,0
143,1,3.22,0
144,1,2.54,0
145,1,2.29,0
146,1,1.88,0
147,1,2.24,0
148,1,3.13,0
149,1,3.12,0
150,1,1.94,0
151,1,2.93,0
152,1,2.52,0
153,1,1.87,0
154,1,2.00,0
155,1,2.69,0
156,1,1.20,0
157,1,1.69,0
158,1,1.92,0
159,1,1.32,0
160,1,1.33,0
161,1,1.00,0
162,1,1.40,0
163,1,1.35,0
164,1,1.70,0
165,1,1.72,0
166,1,0.49,0
167,1,1.11,0
168,1,1.65,0
169,1,2.58,0
170,1,0.66,1
